code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,num_assessments,min_score,max_score,avg_date_submitted,total_banked
EEE,2014J,F,North Western Region,Lower Than A Level,10-20,0-35,N,1,58,11,72.0,78.5,131.4,0
DDD,2014J,M,Wales,A Level or Equivalent,70-80%,0-35,N,0,71,15,56.6,96.2,75.6,0
FFF,2014J,F,East Midlands Region,Lower Than A Level,80-90%,0-35,Y,0,39,9,48.6,100.0,0.0,0
CCC,2014B,F,Ireland,HE Qualification,80-90%,35-55,N,0,76,9,85.0,85.0,155.1,0
CCC,2014J,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,N,0,46,1,68.0,100.0,130.3,0
DDD,2014J,M,Scotland,Lower Than A Level,0-10%,35-55,N,1,34,1,90.1,90.1,26.6,0
CCC,2013B,M,Wales,A Level or Equivalent,20-30%,0-35,N,0,88,10,22.2,85.7,73.6,0
DDD,2013J,M,South West Region,Lower Than A Level,70-80%,0-35,N,0,86,7,52.9,84.3,160.0,0
DDD,2014B,M,South Region,Lower Than A Level,10-20,35-55,N,0,108,5,17.2,99.5,158.8,0
BBB,2014J,M,Scotland,Lower Than A Level,50-60%,0-35,N,0,61,9,48.5,92.8,137.7,0
FFF,2014J,F,Scotland,Lower Than A Level,10-20,0-35,N,0,94,7,48.1,100.0,91.5,0
FFF,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,0,99,13,67.8,74.1,102.2,0
FFF,2014J,M,East Anglian Region,HE Qualification,60-70%,0-35,N,0,95,8,54.7,95.9,93.4,0
DDD,2014J,F,London Region,Lower Than A Level,30-40%,35-55,N,0,46,4,67.7,79.3,145.5,0
BBB,2014J,F,South Region,A Level or Equivalent,70-80%,35-55,N,0,84,12,69.5,73.9,62.5,0
DDD,2014J,F,London Region,Lower Than A Level,40-50%,0-35,N,0,92,7,100.0,100.0,65.4,0
GGG,2014J,F,Scotland,Lower Than A Level,30-40%,0-35,N,0,78,10,46.5,89.8,140.6,0
BBB,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,30,6,32.4,100.0,96.9,0
BBB,2014J,M,Scotland,HE Qualification,30-40%,35-55,N,2,84,5,59.2,84.7,155.9,0
CCC,2013J,F,South East Region,HE Qualification,10-20,0-35,N,0,164,8,35.6,69.7,71.0,0
FFF,2013J,F,South Region,A Level or Equivalent,70-80%,0-35,Y,1,64,8,87.1,92.0,96.5,0
FFF,2014B,M,West Midlands Region,Post Graduate Qualification,30-40%,0-35,Y,0,49,10,47.3,54.7,60.6,0
BBB,2014J,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,N,0,92,7,40.9,86.2,99.1,0
FFF,2014B,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,90,1,43.0,87.9,37.5,0
GGG,2014B,M,West Midlands Region,A Level or Equivalent,10-20,35-55,N,0,124,6,69.9,100.0,78.6,0
EEE,2014J,M,London Region,HE Qualification,70-80%,0-35,N,0,30,11,50.1,100.0,39.3,0
DDD,2013B,F,London Region,Lower Than A Level,10-20,0-35,N,0,106,6,39.2,79.7,127.5,0
EEE,2013B,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,101,7,91.2,91.2,128.5,0
CCC,2014J,M,Ireland,A Level or Equivalent,40-50%,35-55,N,1,72,12,34.3,75.5,27.1,1
FFF,2014J,F,East Midlands Region,Lower Than A Level,10-20,0-35,N,0,91,5,54.5,69.8,154.0,0
EEE,2014B,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,N,0,118,1,68.4,92.6,160.0,0
DDD,2014B,M,Wales,HE Qualification,10-20,0-35,N,0,112,7,16.9,67.5,100.7,1
EEE,2014J,F,North Western Region,Lower Than A Level,70-80%,0-35,N,0,33,6,64.5,81.1,72.2,0
GGG,2014J,F,Scotland,Lower Than A Level,90-100%,0-35,N,0,110,3,29.9,71.9,160.0,0
BBB,2013J,F,West Midlands Region,HE Qualification,50-60%,0-35,N,0,75,7,72.2,96.4,44.1,0
FFF,2013J,F,North Region,A Level or Equivalent,90-100%,0-35,N,1,81,10,31.9,100.0,99.6,0
FFF,2013J,F,East Anglian Region,Post Graduate Qualification,40-50%,35-55,N,0,81,8,69.3,69.3,106.2,0
BBB,2013J,M,East Midlands Region,Lower Than A Level,?,0-35,N,0,72,9,78.6,78.6,154.5,0
EEE,2013J,M,East Anglian Region,Lower Than A Level,30-40%,0-35,N,0,124,16,73.1,85.7,113.7,0
EEE,2014B,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,1,75,6,59.3,87.9,78.1,0
FFF,2014J,M,Scotland,HE Qualification,50-60%,35-55,N,0,34,9,48.4,91.1,59.4,1
DDD,2014J,M,North Western Region,A Level or Equivalent,40-50%,35-55,N,0,62,5,40.7,80.6,84.6,0
BBB,2014B,F,Wales,A Level or Equivalent,60-70%,35-55,N,0,85,4,86.8,86.8,57.1,0
FFF,2013B,M,London Region,A Level or Equivalent,70-80%,35-55,N,0,126,5,37.9,93.5,100.8,0
FFF,2013J,M,East Midlands Region,Lower Than A Level,30-40%,35-55,N,0,101,6,30.3,100.0,75.4,0
BBB,2013J,M,South East Region,Lower Than A Level,20-30%,0-35,N,0,45,9,68.7,68.7,36.9,0
GGG,2014J,F,North Region,Lower Than A Level,70-80%,0-35,N,0,175,18,35.7,81.8,150.8,2
BBB,2013J,M,South Region,HE Qualification,60-70%,0-35,N,0,88,4,32.2,91.0,78.2,0
DDD,2013J,F,London Region,A Level or Equivalent,?,35-55,Y,0,128,6,21.1,73.1,46.2,0
CCC,2014J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,72,7,42.8,100.0,91.8,0
BBB,2014J,M,Ireland,A Level or Equivalent,90-100%,0-35,N,0,99,10,51.8,77.6,101.6,0
GGG,2013J,F,North Region,HE Qualification,70-80%,0-35,N,0,111,9,59.1,87.0,26.4,0
GGG,2014J,F,West Midlands Region,Lower Than A Level,10-20,0-35,N,0,125,14,75.1,96.5,112.5,0
BBB,2014J,M,South East Region,Lower Than A Level,30-40%,35-55,Y,0,119,1,65.5,78.3,55.4,0
DDD,2014J,F,West Midlands Region,Lower Than A Level,70-80%,0-35,N,0,112,1,49.4,58.4,160.0,0
BBB,2014J,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,65,5,49.2,80.9,120.5,0
BBB,2014J,M,Scotland,Lower Than A Level,30-40%,0-35,N,1,55,13,65.2,100.0,82.2,0
FFF,2013B,F,Wales,Lower Than A Level,40-50%,0-35,N,0,91,1,82.4,82.4,67.9,0
DDD,2013J,F,East Anglian Region,Lower Than A Level,90-100%,35-55,N,0,114,1,56.5,74.2,94.4,0
DDD,2014B,F,South East Region,A Level or Equivalent,50-60%,0-35,N,0,69,10,43.1,100.0,124.2,0
FFF,2014B,F,South East Region,Lower Than A Level,50-60%,35-55,N,0,119,9,31.3,82.4,97.7,0
BBB,2013J,F,East Midlands Region,HE Qualification,50-60%,0-35,Y,0,134,3,21.1,79.6,89.8,1
GGG,2014J,F,Scotland,A Level or Equivalent,20-30%,0-35,N,0,42,3,68.7,90.0,101.2,0
FFF,2013J,F,South Region,A Level or Equivalent,40-50%,0-35,N,0,45,3,66.7,99.9,73.8,0
FFF,2013J,F,South Region,Lower Than A Level,40-50%,35-55,N,0,72,8,66.7,100.0,84.6,0
DDD,2014B,F,London Region,Lower Than A Level,30-40%,0-35,N,0,90,5,50.8,100.0,12.4,0
AAA,2013J,F,Scotland,A Level or Equivalent,70-80%,0-35,N,0,57,10,85.4,100.0,139.1,0
BBB,2014J,F,North Region,A Level or Equivalent,50-60%,0-35,N,0,131,1,42.7,79.6,111.2,0
CCC,2014J,M,West Midlands Region,A Level or Equivalent,80-90%,35-55,N,0,94,4,75.2,75.2,66.7,0
CCC,2013J,F,South Region,A Level or Equivalent,80-90%,0-35,N,1,79,3,52.8,88.6,160.0,0
FFF,2014B,F,London Region,Lower Than A Level,20-30%,35-55,N,2,30,7,39.9,89.3,102.4,1
CCC,2013J,M,North Western Region,Lower Than A Level,60-70%,0-35,Y,0,30,5,67.0,70.5,55.9,0
BBB,2013J,F,South West Region,Lower Than A Level,50-60%,0-35,N,0,89,11,62.9,84.9,134.3,0
DDD,2013B,M,West Midlands Region,Lower Than A Level,90-100%,0-35,N,0,30,1,61.7,94.0,115.3,0
DDD,2013J,M,North Region,A Level or Equivalent,10-20,0-35,N,0,117,8,55.5,93.4,115.1,0
DDD,2014J,F,West Midlands Region,HE Qualification,60-70%,0-35,N,0,72,10,52.8,95.6,81.1,0
FFF,2014J,M,Ireland,Lower Than A Level,60-70%,0-35,N,0,204,16,100.0,100.0,117.4,0
EEE,2014J,F,Yorkshire Region,HE Qualification,10-20,0-35,N,0,168,6,80.4,80.4,87.9,0
BBB,2014J,F,East Anglian Region,Lower Than A Level,20-30%,35-55,N,0,71,9,70.0,79.5,121.8,0
FFF,2014J,M,North Region,A Level or Equivalent,60-70%,0-35,N,0,74,1,56.2,68.6,19.9,0
FFF,2014J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,117,1,76.4,100.0,80.8,0
DDD,2014J,M,South East Region,A Level or Equivalent,10-20,0-35,N,0,144,12,65.3,87.9,160.0,0
CCC,2014J,F,London Region,Lower Than A Level,60-70%,0-35,N,0,30,8,54.3,84.1,67.0,0
FFF,2013B,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,N,2,30,13,46.8,72.9,73.8,0
DDD,2014J,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,0,53,2,51.8,100.0,80.2,0
FFF,2013J,M,South East Region,HE Qualification,20-30%,0-35,N,0,101,10,0.0,70.6,48.5,0
DDD,2013J,F,South East Region,A Level or Equivalent,90-100%,0-35,N,1,97,16,58.4,80.8,7.3,0
FFF,2013B,M,South Region,HE Qualification,10-20,0-35,N,3,120,10,42.6,94.2,89.2,0
CCC,2014J,F,Scotland,A Level or Equivalent,40-50%,0-35,N,0,31,9,89.6,97.2,104.4,0
BBB,2013J,M,London Region,Lower Than A Level,30-40%,35-55,N,0,30,8,54.1,100.0,96.6,0
GGG,2013B,F,East Anglian Region,Lower Than A Level,20-30%,35-55,N,0,111,1,26.8,100.0,92.8,0
FFF,2013B,M,East Midlands Region,Lower Than A Level,0-10%,0-35,N,0,45,14,52.5,95.7,100.6,0
BBB,2014B,F,London Region,A Level or Equivalent,10-20,0-35,N,0,30,5,30.1,70.9,141.2,0
FFF,2014J,M,Ireland,A Level or Equivalent,80-90%,0-35,N,0,83,10,64.3,83.6,90.9,0
GGG,2014J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,109,1,60.2,92.5,75.0,0
EEE,2014B,F,South East Region,A Level or Equivalent,40-50%,0-35,N,0,73,2,75.3,100.0,87.1,0
BBB,2013B,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,0,60,14,35.8,65.5,122.8,0
DDD,2013J,F,Yorkshire Region,HE Qualification,30-40%,0-35,N,0,72,6,54.4,100.0,157.3,0
EEE,2013J,F,North Region,HE Qualification,20-30%,0-35,Y,0,63,14,22.9,90.5,72.8,0
DDD,2014J,M,North Western Region,Lower Than A Level,40-50%,0-35,N,0,30,7,69.5,100.0,102.9,0
DDD,2014B,M,South West Region,Lower Than A Level,50-60%,35-55,N,0,50,1,65.4,86.0,112.8,0
BBB,2014J,F,Wales,Lower Than A Level,40-50%,35-55,N,0,98,12,64.8,74.3,57.7,0
FFF,2014J,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,N,0,90,5,53.7,99.6,99.6,0
GGG,2013J,F,West Midlands Region,HE Qualification,0-10%,35-55,N,1,84,11,63.0,98.0,38.1,0
GGG,2013J,M,London Region,Lower Than A Level,30-40%,35-55,N,0,39,8,89.9,100.0,25.5,0
DDD,2014J,F,East Anglian Region,Lower Than A Level,50-60%,0-35,N,0,71,1,47.2,87.4,114.0,0
BBB,2014J,M,London Region,A Level or Equivalent,?,0-35,N,0,30,8,56.8,78.1,82.9,0
BBB,2013J,F,Scotland,Lower Than A Level,0-10%,0-35,N,0,85,18,29.2,62.9,107.2,0
CCC,2014J,F,Scotland,Lower Than A Level,60-70%,35-55,Y,0,134,10,34.1,100.0,98.0,0
GGG,2013J,F,East Anglian Region,HE Qualification,10-20,35-55,N,0,30,7,55.9,94.4,58.3,1
EEE,2014J,F,Ireland,Lower Than A Level,70-80%,0-35,Y,0,55,13,78.6,78.6,96.9,0
CCC,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,91,9,47.9,79.1,47.7,0
DDD,2013J,F,Ireland,HE Qualification,0-10%,0-35,N,1,127,9,48.3,80.2,156.4,0
FFF,2014J,M,North Western Region,A Level or Equivalent,?,0-35,N,0,60,3,44.5,64.1,42.6,0
FFF,2014J,M,London Region,A Level or Equivalent,20-30%,0-35,N,0,51,9,41.6,74.7,90.7,0
GGG,2014J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,2,30,12,60.3,69.7,55.6,0
DDD,2014J,M,North Western Region,Lower Than A Level,70-80%,0-35,Y,0,82,4,19.9,81.1,122.4,1
FFF,2013B,F,Scotland,HE Qualification,80-90%,35-55,N,0,157,14,82.6,82.6,85.0,0
FFF,2014J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,89,7,38.6,61.8,77.3,0
CCC,2014B,M,South Region,HE Qualification,10-20,35-55,N,0,77,4,69.9,100.0,134.1,0
FFF,2014J,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,90,12,25.0,100.0,100.0,0
FFF,2014B,F,East Midlands Region,HE Qualification,10-20,0-35,Y,0,77,6,68.7,75.3,120.2,0
DDD,2014B,M,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,46,11,68.8,92.0,58.1,0
CCC,2013J,M,Scotland,Lower Than A Level,0-10%,0-35,N,0,110,6,62.3,94.3,40.6,0
DDD,2013J,M,South East Region,A Level or Equivalent,40-50%,0-35,N,0,87,7,31.2,100.0,103.2,0
FFF,2013J,F,North Western Region,HE Qualification,40-50%,0-35,N,0,78,10,59.3,74.7,85.6,0
CCC,2013J,F,Scotland,Lower Than A Level,30-40%,0-35,Y,0,40,9,27.0,100.0,124.7,0
FFF,2013B,M,Ireland,A Level or Equivalent,10-20,0-35,N,0,129,1,48.0,79.0,95.5,0
BBB,2014B,M,Scotland,HE Qualification,60-70%,0-35,N,0,104,3,76.9,76.9,107.3,0
CCC,2013B,F,East Midlands Region,A Level or Equivalent,?,0-35,N,0,56,12,71.6,99.1,31.5,0
DDD,2014J,F,Ireland,HE Qualification,80-90%,35-55,N,0,117,7,54.0,100.0,160.0,0
EEE,2014B,M,South Region,A Level or Equivalent,30-40%,35-55,N,0,58,5,31.7,100.0,92.0,0
DDD,2013B,F,East Anglian Region,Lower Than A Level,90-100%,0-35,N,0,47,2,68.2,68.6,127.7,0
DDD,2014J,M,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,48,3,54.1,98.7,64.1,0
FFF,2014J,M,South Region,A Level or Equivalent,70-80%,0-35,Y,1,30,1,1.3,81.2,111.5,0
BBB,2014B,F,Scotland,A Level or Equivalent,50-60%,0-35,N,0,96,7,71.3,100.0,44.8,0
BBB,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,30,5,53.1,64.3,117.5,0
BBB,2014B,F,Scotland,Lower Than A Level,10-20,35-55,Y,0,30,3,80.8,80.8,84.0,0
GGG,2014J,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,30,7,29.0,75.3,100.0,0
BBB,2014B,M,Ireland,Lower Than A Level,10-20,0-35,N,0,74,9,0.0,88.9,127.7,0
EEE,2014J,F,South East Region,A Level or Equivalent,10-20,0-35,N,0,72,17,60.0,77.5,47.7,0
DDD,2014J,M,South West Region,A Level or Equivalent,50-60%,0-35,N,0,65,1,60.2,98.1,70.4,0
CCC,2014J,F,South Region,Lower Than A Level,70-80%,0-35,N,0,37,13,15.5,100.0,117.7,0
DDD,2014B,M,South West Region,A Level or Equivalent,50-60%,0-35,Y,0,32,12,31.6,97.2,160.0,0
DDD,2014B,M,West Midlands Region,HE Qualification,30-40%,0-35,N,0,96,4,100.0,100.0,93.1,0
DDD,2013J,M,North Western Region,HE Qualification,90-100%,0-35,N,1,56,9,46.8,94.2,123.3,0
FFF,2013J,F,East Anglian Region,Lower Than A Level,90-100%,0-35,N,0,90,6,70.2,70.2,94.3,0
CCC,2013B,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,N,0,43,9,39.0,100.0,160.0,0
BBB,2013J,F,North Western Region,HE Qualification,?,0-35,N,0,85,15,6.5,78.1,26.4,0
FFF,2014B,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,N,0,129,10,49.8,100.0,102.7,2
DDD,2013J,F,London Region,A Level or Equivalent,?,0-35,N,0,101,10,47.7,100.0,31.4,0
FFF,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,62,6,44.6,94.9,0.0,0
GGG,2013J,F,South East Region,Lower Than A Level,40-50%,0-35,N,0,88,1,51.1,63.9,111.1,0
GGG,2014J,F,Wales,A Level or Equivalent,10-20,0-35,N,0,68,7,59.6,73.1,104.6,0
GGG,2014B,F,Wales,Lower Than A Level,20-30%,0-35,N,0,78,13,50.3,100.0,87.0,0
BBB,2013J,F,Scotland,No Formal quals,20-30%,35-55,N,0,65,1,25.1,85.0,94.4,0
FFF,2014J,F,North Western Region,HE Qualification,60-70%,35-55,N,0,71,3,64.6,88.9,160.0,0
GGG,2013B,F,North Western Region,Lower Than A Level,70-80%,0-35,N,1,86,8,9.7,99.7,88.1,0
BBB,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,N,0,39,3,7.4,98.7,119.9,0
GGG,2013J,M,South Region,HE Qualification,20-30%,0-35,N,0,38,4,70.3,92.1,71.9,0
